Idpt	xcoord	ycoord
383	782361.772412469	9923785.73820982
384	782362.295836391	9923780.76568255
385	782362.819260314	9923775.79315529
386	782363.342684236	9923770.82062802
387	782363.866108159	9923765.84810076
388	782364.389532082	9923760.8755735
389	782364.912956004	9923755.90304623
390	782365.436379927	9923750.93051897
391	782365.959803849	9923745.9579917
392	782366.483227772	9923740.98546444
393	782367.006651695	9923736.01293717
394	782367.530075617	9923731.04040991
395	782368.05349954	9923726.06788264
396	782368.576923462	9923721.09535538
397	782369.100347385	9923716.12282811
398	782369.623771308	9923711.15030085
399	782370.14719523	9923706.17777358
400	782370.670619153	9923701.20524632
401	782371.194043075	9923696.23271905
402	782371.717466998	9923691.26019179
403	782372.24089092	9923686.28766453
404	782372.764314843	9923681.31513726
405	782373.287738766	9923676.34261
406	782373.811162688	9923671.37008273
407	782374.334586611	9923666.39755547
408	782374.858010533	9923661.4250282
409	782375.381434456	9923656.45250094
410	782375.904858379	9923651.47997367
411	782376.428282301	9923646.50744641
412	782376.951706224	9923641.53491914
413	782377.475130146	9923636.56239188
414	782377.998554069	9923631.58986462
415	782378.521977992	9923626.61733735
416	782379.045401914	9923621.64481009
417	782379.568825837	9923616.67228282
418	782380.092249759	9923611.69975556
419	782380.615673682	9923606.72722829
420	782381.139097604	9923601.75470103
421	782381.662521527	9923596.78217376
422	782382.18594545	9923591.8096465
423	782382.709369372	9923586.83711923
424	782383.232793295	9923581.86459197
425	782383.756217217	9923576.89206471
426	782384.27964114	9923571.91953744
427	782384.803065063	9923566.94701018
428	782385.326488985	9923561.97448291
429	782385.849912908	9923557.00195565
430	782386.37333683	9923552.02942838
431	782386.896760753	9923547.05690112
432	782387.420184676	9923542.08437385
433	782387.943608598	9923537.11184659
434	782388.467032521	9923532.13931932
435	782388.990456443	9923527.16679206
436	782389.513880366	9923522.19426479
437	782390.037304288	9923517.22173753
438	782390.560728211	9923512.24921026
439	782391.084152134	9923507.276683
440	782391.607576056	9923502.30415574
441	782392.130999979	9923497.33162847
442	782392.654423901	9923492.35910121
443	782393.177847824	9923487.38657394
444	782393.701271747	9923482.41404668
445	782394.224695669	9923477.44151941
446	782394.748119592	9923472.46899215
447	782395.271543514	9923467.49646488
448	782395.794967437	9923462.52393762
449	782396.31839136	9923457.55141035
450	782396.841815282	9923452.57888309
451	782397.365239205	9923447.60635583
452	782397.888663127	9923442.63382856
453	782398.41208705	9923437.6613013
454	782398.935510973	9923432.68877403
455	782399.458934895	9923427.71624677
456	782399.982358818	9923422.7437195
457	782400.50578274	9923417.77119224
458	782401.029206663	9923412.79866497
459	782401.552630586	9923407.82613771
460	782402.076054508	9923402.85361044
461	782402.599478431	9923397.88108318
462	782403.122902353	9923392.90855591
463	782403.646326276	9923387.93602865
464	782404.169750198	9923382.96350138
465	782404.693174121	9923377.99097412
466	782405.216598044	9923373.01844686
467	782405.740021966	9923368.04591959
468	782406.263445889	9923363.07339233
469	782406.842903953	9923358.11300257
470	782408.424042783	9923353.36958608
471	782410.005181613	9923348.62616959
472	782411.586320443	9923343.8827531
473	782413.167459273	9923339.13933661
474	782414.748598103	9923334.39592012
475	782416.329736933	9923329.65250363
476	782417.910875764	9923324.90908714
477	782419.492014594	9923320.16567065
478	782421.073153424	9923315.42225416
479	782422.654292254	9923310.67883767
480	782424.235431084	9923305.93542118
481	782425.816569914	9923301.19200469
482	782427.397708744	9923296.4485882
483	782428.978847574	9923291.70517171
484	782430.559986404	9923286.96175522
485	782432.141125234	9923282.21833873
486	782433.722264064	9923277.47492224
487	782435.303402894	9923272.73150575
488	782436.884541724	9923267.98808926
489	782438.465680555	9923263.24467277
490	782440.046819385	9923258.50125628
491	782441.627958215	9923253.75783979
492	782443.209097045	9923249.0144233
493	782444.790235875	9923244.27100681
494	782446.371374705	9923239.52759032
495	782447.952513535	9923234.78417383
496	782449.533652365	9923230.04075734
497	782451.114791195	9923225.29734085
498	782452.695930025	9923220.55392436
499	782454.277068855	9923215.81050786
500	782455.858207685	9923211.06709137
501	782457.439346515	9923206.32367488
502	782459.020485346	9923201.58025839
503	782460.601624176	9923196.8368419
504	782462.182763006	9923192.09342541
505	782463.763901836	9923187.35000892
506	782465.345040666	9923182.60659243
507	782466.926179496	9923177.86317594
508	782468.507318326	9923173.11975945
509	782470.088457156	9923168.37634296
510	782471.669595986	9923163.63292647
511	782473.250734816	9923158.88950998
