njear	nrios	ntramo	ndist	xcoor	ycoor	dx	dt
1	171	0	53714.94	765530.230494	9889506.699494	30	0
1	171	0	53744.94	765530.230494	9889477.699494	30	0
1	171	0	53789.94	765559.230494	9889448.699494	45	0
1	171	0	53819.94	765559.230494	9889419.699494	30	0
1	171	0	53864.94	765588.230494	9889390.699494	45	0
1	171	0	53894.94	765588.230494	9889361.699494	30	0
1	171	0	53924.94	765588.230494	9889332.699494	30	0
1	171	0	53969.94	765617.230494	9889303.699494	45	0
1	171	0	53999.94	765617.230494	9889274.699494	30	0
1	171	0	54029.94	765617.230494	9889245.699494	30	0
1	171	0	54059.94	765617.230494	9889216.699494	30	0
1	171	0	54104.94	765646.230494	9889187.699494	45	0
1	171	0	54134.94	765646.230494	9889158.699494	30	0
1	171	0	54179.94	765675.230494	9889129.699494	45	0
1	171	0	54224.94	765704.230494	9889100.699494	45	0
1	171	0	54254.94	765704.230494	9889071.699494	30	0
1	171	0	54284.94	765704.230494	9889042.699494	30	0
1	171	0	54329.94	765733.230494	9889013.699494	45	0
1	171	0	54374.94	765762.230494	9888984.699494	45	0
1	171	0	54419.94	765791.230494	9888955.699494	45	0
1	171	0	54449.94	765791.230494	9888926.699494	30	0
1	171	0	54479.94	765791.230494	9888897.699494	30	0
1	171	0	54524.94	765820.230494	9888868.699494	45	0
1	171	0	54569.94	765849.230494	9888839.699494	45	0
1	171	0	54614.94	765878.230494	9888810.699494	45	0
1	171	0	54644.94	765907.230494	9888810.699494	30	0
1	171	0	54689.94	765936.230494	9888781.699494	45	0
1	171	0	54719.94	765965.230494	9888781.699494	30	0
1	171	0	54749.94	765994.230494	9888781.699494	30	0
1	171	0	54779.94	766023.230494	9888781.699494	30	0
1	171	0	54809.94	766023.230494	9888810.699494	30	0
1	171	0	54839.94	766023.230494	9888839.699494	30	0
1	171	0	54869.94	766052.230494	9888839.699494	30	0
1	171	0	54899.94	766052.230494	9888810.699494	30	0
1	171	0	54929.94	766052.230494	9888781.699494	30	0
1	171	0	54959.94	766052.230494	9888752.699494	30	0
1	171	0	54989.94	766052.230494	9888723.699494	30	0
1	171	0	55019.94	766081.230494	9888723.699494	30	0
1	171	0	55049.94	766081.230494	9888694.699494	30	0
1	171	0	55079.94	766081.230494	9888665.699494	30	0
1	171	0	55109.94	766081.230494	9888636.699494	30	0
1	171	0	55139.94	766110.230494	9888636.699494	30	0
1	171	0	55169.94	766110.230494	9888607.699494	30	0
1	171	0	55199.94	766110.230494	9888578.699494	30	0
1	171	0	55244.94	766139.230494	9888549.699494	45	0
1	171	0	55274.94	766139.230494	9888520.699494	30	0
